,Year,State,Age Group,Fertility rate
0,2016,Negeri Sembilan,15 - 19,7
1,2016,Negeri Sembilan,20 - 24,42
2,2016,Negeri Sembilan,25 - 29,130
3,2016,Negeri Sembilan,30 - 34,152
4,2016,Negeri Sembilan,35 - 39,84
5,2016,Negeri Sembilan,40 - 44,19
6,2016,Negeri Sembilan,45 - 49,1
7,2016,Negeri Sembilan,Total,2175
8,2015,Negeri Sembilan,15 - 19,9
9,2015,Negeri Sembilan,20 - 24,43
10,2015,Negeri Sembilan,25 - 29,140
11,2015,Negeri Sembilan,30 - 34,158
12,2015,Negeri Sembilan,35 - 39,82
13,2015,Negeri Sembilan,40 - 44,18
14,2015,Negeri Sembilan,45 - 49,1
15,2015,Negeri Sembilan,Total,2253
16,2014,Negeri Sembilan,15 - 19,9
17,2014,Negeri Sembilan,20 - 24,46
18,2014,Negeri Sembilan,25 - 29,145
19,2014,Negeri Sembilan,30 - 34,162
20,2014,Negeri Sembilan,35 - 39,80
21,2014,Negeri Sembilan,40 - 44,19
22,2014,Negeri Sembilan,45 - 49,1
23,2014,Negeri Sembilan,Total,2313
24,2013,Negeri Sembilan,15 - 19,10
25,2013,Negeri Sembilan,20 - 24,45
26,2013,Negeri Sembilan,25 - 29,146
27,2013,Negeri Sembilan,30 - 34,148
28,2013,Negeri Sembilan,35 - 39,73
29,2013,Negeri Sembilan,40 - 44,17
30,2013,Negeri Sembilan,45 - 49,1
31,2013,Negeri Sembilan,Total,2200
32,2012,Negeri Sembilan,15 - 19,10
33,2012,Negeri Sembilan,20 - 24,49
34,2012,Negeri Sembilan,25 - 29,151
35,2012,Negeri Sembilan,30 - 34,155
36,2012,Negeri Sembilan,35 - 39,75
37,2012,Negeri Sembilan,40 - 44,18
38,2012,Negeri Sembilan,45 - 49,1
39,2012,Negeri Sembilan,Total,2294
40,2011,Negeri Sembilan,15 - 19,10
41,2011,Negeri Sembilan,20 - 24,52
42,2011,Negeri Sembilan,25 - 29,158
43,2011,Negeri Sembilan,30 - 34,151
44,2011,Negeri Sembilan,35 - 39,71
45,2011,Negeri Sembilan,40 - 44,16
46,2011,Negeri Sembilan,45 - 49,1
47,2011,Negeri Sembilan,Total,2296
48,2010,Negeri Sembilan,15 - 19,11
49,2010,Negeri Sembilan,20 - 24,56
50,2010,Negeri Sembilan,25 - 29,158
51,2010,Negeri Sembilan,30 - 34,141
52,2010,Negeri Sembilan,35 - 39,69
53,2010,Negeri Sembilan,40 - 44,17
54,2010,Negeri Sembilan,45 - 49,1
55,2010,Negeri Sembilan,Total,2267
56,2009,Negeri Sembilan,15 - 19,10
57,2009,Negeri Sembilan,20 - 24,60
58,2009,Negeri Sembilan,25 - 29,167
59,2009,Negeri Sembilan,30 - 34,149
60,2009,Negeri Sembilan,35 - 39,71
61,2009,Negeri Sembilan,40 - 44,18
62,2009,Negeri Sembilan,45 - 49,1
63,2009,Negeri Sembilan,Total,2377
64,2008,Negeri Sembilan,15 - 19,10
65,2008,Negeri Sembilan,20 - 24,67
66,2008,Negeri Sembilan,25 - 29,168
67,2008,Negeri Sembilan,30 - 34,146
68,2008,Negeri Sembilan,35 - 39,71
69,2008,Negeri Sembilan,40 - 44,20
70,2008,Negeri Sembilan,45 - 49,1
71,2008,Negeri Sembilan,Total,2416
72,2007,Negeri Sembilan,15 - 19,10
73,2007,Negeri Sembilan,20 - 24,67
74,2007,Negeri Sembilan,25 - 29,170
75,2007,Negeri Sembilan,30 - 34,148
76,2007,Negeri Sembilan,35 - 39,73
77,2007,Negeri Sembilan,40 - 44,18
78,2007,Negeri Sembilan,45 - 49,1
79,2007,Negeri Sembilan,Total,2445
80,2006,Negeri Sembilan,15 - 19,10
81,2006,Negeri Sembilan,20 - 24,68
82,2006,Negeri Sembilan,25 - 29,166
83,2006,Negeri Sembilan,30 - 34,142
84,2006,Negeri Sembilan,35 - 39,74
85,2006,Negeri Sembilan,40 - 44,20
86,2006,Negeri Sembilan,45 - 49,1
87,2006,Negeri Sembilan,Total,2411
88,2005,Negeri Sembilan,15 - 19,11
89,2005,Negeri Sembilan,20 - 24,73
90,2005,Negeri Sembilan,25 - 29,173
91,2005,Negeri Sembilan,30 - 34,146
92,2005,Negeri Sembilan,35 - 39,73
93,2005,Negeri Sembilan,40 - 44,21
94,2005,Negeri Sembilan,45 - 49,1
95,2005,Negeri Sembilan,Total,2487
96,2004,Negeri Sembilan,15 - 19,11
97,2004,Negeri Sembilan,20 - 24,74
98,2004,Negeri Sembilan,25 - 29,178
99,2004,Negeri Sembilan,30 - 34,151
100,2004,Negeri Sembilan,35 - 39,77
101,2004,Negeri Sembilan,40 - 44,23
102,2004,Negeri Sembilan,45 - 49,1
103,2004,Negeri Sembilan,Total,2576
104,2003,Negeri Sembilan,15 - 19,10
105,2003,Negeri Sembilan,20 - 24,81
106,2003,Negeri Sembilan,25 - 29,183
107,2003,Negeri Sembilan,30 - 34,151
108,2003,Negeri Sembilan,35 - 39,81
109,2003,Negeri Sembilan,40 - 44,23
110,2003,Negeri Sembilan,45 - 49,2
111,2003,Negeri Sembilan,Total,2650
112,2002,Negeri Sembilan,15 - 19,11
113,2002,Negeri Sembilan,20 - 24,84
114,2002,Negeri Sembilan,25 - 29,192
115,2002,Negeri Sembilan,30 - 34,154
116,2002,Negeri Sembilan,35 - 39,83
117,2002,Negeri Sembilan,40 - 44,25
118,2002,Negeri Sembilan,45 - 49,2
119,2002,Negeri Sembilan,Total,2756
120,2001,Negeri Sembilan,15 - 19,12
121,2001,Negeri Sembilan,20 - 24,90
122,2001,Negeri Sembilan,25 - 29,193
123,2001,Negeri Sembilan,30 - 34,151
124,2001,Negeri Sembilan,35 - 39,86
125,2001,Negeri Sembilan,40 - 44,26
126,2001,Negeri Sembilan,45 - 49,2
127,2001,Negeri Sembilan,Total,2802
128,2018,Negeri Sembilan,15 - 19,6.79516
129,2018,Negeri Sembilan,20 - 24,39.9888
130,2018,Negeri Sembilan,25 - 29,120.203
131,2018,Negeri Sembilan,30 - 34,144.063
132,2018,Negeri Sembilan,35 - 39,90.212
133,2018,Negeri Sembilan,40 - 44,20.7457
134,2018,Negeri Sembilan,45 - 49,1.34039
135,2018,Negeri Sembilan,Total,2116.74
136,2017,Negeri Sembilan,15 - 19,7
137,2017,Negeri Sembilan,20 - 24,42
138,2017,Negeri Sembilan,25 - 29,126
139,2017,Negeri Sembilan,30 - 34,146
140,2017,Negeri Sembilan,35 - 39,83
141,2017,Negeri Sembilan,40 - 44,21
142,2017,Negeri Sembilan,45 - 49,1
143,2017,Negeri Sembilan,Total,2131
144,2016,Pulau Pinang,15 - 19,7
145,2016,Pulau Pinang,20 - 24,31
146,2016,Pulau Pinang,25 - 29,77
147,2016,Pulau Pinang,30 - 34,95
148,2016,Pulau Pinang,35 - 39,62
149,2016,Pulau Pinang,40 - 44,14
150,2016,Pulau Pinang,45 - 49,1
151,2016,Pulau Pinang,Total,1438
152,2015,Pulau Pinang,15 - 19,7
153,2015,Pulau Pinang,20 - 24,31
154,2015,Pulau Pinang,25 - 29,83
155,2015,Pulau Pinang,30 - 34,100
156,2015,Pulau Pinang,35 - 39,63
157,2015,Pulau Pinang,40 - 44,14
158,2015,Pulau Pinang,45 - 49,1
159,2015,Pulau Pinang,Total,1486
160,2014,Pulau Pinang,15 - 19,7
161,2014,Pulau Pinang,20 - 24,31
162,2014,Pulau Pinang,25 - 29,91
163,2014,Pulau Pinang,30 - 34,105
164,2014,Pulau Pinang,35 - 39,63
165,2014,Pulau Pinang,40 - 44,13
166,2014,Pulau Pinang,45 - 49,1
167,2014,Pulau Pinang,Total,1555
168,2013,Pulau Pinang,15 - 19,6
169,2013,Pulau Pinang,20 - 24,28
170,2013,Pulau Pinang,25 - 29,87
171,2013,Pulau Pinang,30 - 34,102
172,2013,Pulau Pinang,35 - 39,58
173,2013,Pulau Pinang,40 - 44,13
174,2013,Pulau Pinang,45 - 49,1
175,2013,Pulau Pinang,Total,1475
176,2012,Pulau Pinang,15 - 19,7
177,2012,Pulau Pinang,20 - 24,34
178,2012,Pulau Pinang,25 - 29,101
179,2012,Pulau Pinang,30 - 34,119
180,2012,Pulau Pinang,35 - 39,63
181,2012,Pulau Pinang,40 - 44,14
182,2012,Pulau Pinang,45 - 49,1
183,2012,Pulau Pinang,Total,1697
184,2011,Pulau Pinang,15 - 19,6
185,2011,Pulau Pinang,20 - 24,34
186,2011,Pulau Pinang,25 - 29,96
187,2011,Pulau Pinang,30 - 34,113
188,2011,Pulau Pinang,35 - 39,59
189,2011,Pulau Pinang,40 - 44,14
190,2011,Pulau Pinang,45 - 49,1
191,2011,Pulau Pinang,Total,1620
192,2010,Pulau Pinang,15 - 19,6
193,2010,Pulau Pinang,20 - 24,37
194,2010,Pulau Pinang,25 - 29,95
195,2010,Pulau Pinang,30 - 34,104
196,2010,Pulau Pinang,35 - 39,54
197,2010,Pulau Pinang,40 - 44,14
198,2010,Pulau Pinang,45 - 49,1
199,2010,Pulau Pinang,Total,1558
200,2009,Pulau Pinang,15 - 19,6
201,2009,Pulau Pinang,20 - 24,41
202,2009,Pulau Pinang,25 - 29,106
203,2009,Pulau Pinang,30 - 34,115
204,2009,Pulau Pinang,35 - 39,61
205,2009,Pulau Pinang,40 - 44,13
206,2009,Pulau Pinang,45 - 49,1
207,2009,Pulau Pinang,Total,1712
208,2008,Pulau Pinang,15 - 19,6
209,2008,Pulau Pinang,20 - 24,42
210,2008,Pulau Pinang,25 - 29,113
211,2008,Pulau Pinang,30 - 34,116
212,2008,Pulau Pinang,35 - 39,59
213,2008,Pulau Pinang,40 - 44,15
214,2008,Pulau Pinang,45 - 49,1
215,2008,Pulau Pinang,Total,1759
216,2007,Pulau Pinang,15 - 19,6
217,2007,Pulau Pinang,20 - 24,44
218,2007,Pulau Pinang,25 - 29,113
219,2007,Pulau Pinang,30 - 34,112
220,2007,Pulau Pinang,35 - 39,59
221,2007,Pulau Pinang,40 - 44,14
222,2007,Pulau Pinang,45 - 49,1
223,2007,Pulau Pinang,Total,1746
224,2006,Pulau Pinang,15 - 19,6
225,2006,Pulau Pinang,20 - 24,47
226,2006,Pulau Pinang,25 - 29,112
227,2006,Pulau Pinang,30 - 34,110
228,2006,Pulau Pinang,35 - 39,58
229,2006,Pulau Pinang,40 - 44,15
230,2006,Pulau Pinang,45 - 49,1
231,2006,Pulau Pinang,Total,1738
232,2005,Pulau Pinang,15 - 19,6
233,2005,Pulau Pinang,20 - 24,50
234,2005,Pulau Pinang,25 - 29,118
235,2005,Pulau Pinang,30 - 34,111
236,2005,Pulau Pinang,35 - 39,60
237,2005,Pulau Pinang,40 - 44,15
238,2005,Pulau Pinang,45 - 49,1
239,2005,Pulau Pinang,Total,1802
240,2004,Pulau Pinang,15 - 19,7
241,2004,Pulau Pinang,20 - 24,53
242,2004,Pulau Pinang,25 - 29,118
243,2004,Pulau Pinang,30 - 34,112
244,2004,Pulau Pinang,35 - 39,65
245,2004,Pulau Pinang,40 - 44,16
246,2004,Pulau Pinang,45 - 49,1
247,2004,Pulau Pinang,Total,1855
248,2003,Pulau Pinang,15 - 19,7
249,2003,Pulau Pinang,20 - 24,56
250,2003,Pulau Pinang,25 - 29,120
251,2003,Pulau Pinang,30 - 34,118
252,2003,Pulau Pinang,35 - 39,65
253,2003,Pulau Pinang,40 - 44,15
254,2003,Pulau Pinang,45 - 49,1
255,2003,Pulau Pinang,Total,1916
256,2002,Pulau Pinang,15 - 19,8
257,2002,Pulau Pinang,20 - 24,59
258,2002,Pulau Pinang,25 - 29,129
259,2002,Pulau Pinang,30 - 34,126
260,2002,Pulau Pinang,35 - 39,68
261,2002,Pulau Pinang,40 - 44,17
262,2002,Pulau Pinang,45 - 49,1
263,2002,Pulau Pinang,Total,2042
264,2001,Pulau Pinang,15 - 19,8
265,2001,Pulau Pinang,20 - 24,62
266,2001,Pulau Pinang,25 - 29,129
267,2001,Pulau Pinang,30 - 34,123
268,2001,Pulau Pinang,35 - 39,72
269,2001,Pulau Pinang,40 - 44,17
270,2001,Pulau Pinang,45 - 49,1
271,2001,Pulau Pinang,Total,2063
272,2018,Pulau Pinang,15 - 19,5.02437
273,2018,Pulau Pinang,20 - 24,29.5447
274,2018,Pulau Pinang,25 - 29,69.2204
275,2018,Pulau Pinang,30 - 34,87.8654
276,2018,Pulau Pinang,35 - 39,57.3272
277,2018,Pulau Pinang,40 - 44,14.4965
278,2018,Pulau Pinang,45 - 49,1.0392
279,2018,Pulau Pinang,Total,1322.59
280,2017,Pulau Pinang,15 - 19,6
281,2017,Pulau Pinang,20 - 24,31
282,2017,Pulau Pinang,25 - 29,76
283,2017,Pulau Pinang,30 - 34,91
284,2017,Pulau Pinang,35 - 39,59
285,2017,Pulau Pinang,40 - 44,14
286,2017,Pulau Pinang,45 - 49,1
287,2017,Pulau Pinang,Total,1391
288,2018,Sabah,15 - 19,11.0938
289,2018,Sabah,20 - 24,43.077
290,2018,Sabah,25 - 29,67.3025
291,2018,Sabah,30 - 34,84.5281
292,2018,Sabah,35 - 39,54.5726
293,2018,Sabah,40 - 44,21.3755
294,2018,Sabah,45 - 49,3.47909
295,2018,Sabah,Total,1427.14
296,2017,Sabah,15 - 19,11
297,2017,Sabah,20 - 24,44
298,2017,Sabah,25 - 29,68
299,2017,Sabah,30 - 34,82
300,2017,Sabah,35 - 39,58
301,2017,Sabah,40 - 44,20
302,2017,Sabah,45 - 49,3
303,2017,Sabah,Total,1434
304,2016,Sabah,15 - 19,13
305,2016,Sabah,20 - 24,46
306,2016,Sabah,25 - 29,68
307,2016,Sabah,30 - 34,81
308,2016,Sabah,35 - 39,56
309,2016,Sabah,40 - 44,20
310,2016,Sabah,45 - 49,4
311,2016,Sabah,Total,1445
312,2015,Sabah,15 - 19,16
313,2015,Sabah,20 - 24,51
314,2015,Sabah,25 - 29,74
315,2015,Sabah,30 - 34,84
316,2015,Sabah,35 - 39,59
317,2015,Sabah,40 - 44,23
318,2015,Sabah,45 - 49,4
319,2015,Sabah,Total,1554
320,2014,Sabah,15 - 19,20
321,2014,Sabah,20 - 24,56
322,2014,Sabah,25 - 29,79
323,2014,Sabah,30 - 34,88
324,2014,Sabah,35 - 39,61
325,2014,Sabah,40 - 44,23
326,2014,Sabah,45 - 49,4
327,2014,Sabah,Total,1658
328,2013,Sabah,15 - 19,1658
329,2013,Sabah,20 - 24,1658
330,2013,Sabah,25 - 29,1658
331,2013,Sabah,30 - 34,1658
332,2013,Sabah,35 - 39,1658
333,2013,Sabah,40 - 44,1658
334,2013,Sabah,45 - 49,1658
335,2013,Sabah,Total,1658
336,2012,Sabah,15 - 19,1658
337,2012,Sabah,20 - 24,1658
338,2012,Sabah,25 - 29,1658
339,2012,Sabah,30 - 34,1658
340,2012,Sabah,35 - 39,1658
341,2012,Sabah,40 - 44,1658
