Year,State,Sex,Live_births
2018,Kelantan,Total,38360
2018,Melaka,Male,7379
2018,Melaka,Female,7009
2018,Melaka,Total,14388
2018,Negeri Sembilan,Male,9328
2018,Negeri Sembilan,Female,8849
2018,Negeri Sembilan,Total,18177
2018,Pahang,Male,13930
2018,Pahang,Female,13076
2018,Pahang,Total,27006
2018,Perak,Male,17455
2018,Perak,Female,16414
2018,Perak,Total,33869
2018,Perlis,Male,2249
2018,Perlis,Female,2122
2018,Perlis,Total,4371
2018,Pulau Pinang,Male,10661
2018,Pulau Pinang,Female,10044
2018,Pulau Pinang,Total,20705
2018,Sabah,Male,27601
2018,Sabah,Female,25424
2018,Sabah,Total,53025
2018,Sarawak,Male,18876
2018,Sarawak,Female,17748
2018,Sarawak,Total,36624
2018,Selangor,Male,52784
2018,Selangor,Female,49341
2018,Selangor,Total,102125
2018,Terengganu,Male,14578
2018,Terengganu,Female,13664
2018,Terengganu,Total,28242
2018,Wilayah Persekutuan Kuala Lumpur,Male,12475
2018,Wilayah Persekutuan Kuala Lumpur,Female,11760
2018,Wilayah Persekutuan Kuala Lumpur,Total,24235
2018,Wilayah Persekutuan Labuan,Male,913
2018,Wilayah Persekutuan Labuan,Female,778
2018,Wilayah Persekutuan Labuan,Total,1691
2018,Wilayah Persekutuan Putrajaya,Male,1251
2018,Wilayah Persekutuan Putrajaya,Female,1149
2018,Wilayah Persekutuan Putrajaya,Total,2400
